Product Name,Ingredients,Protein (g),Carbs (g),Fat (g),Fiber (g),Sugar (g),Calories,Calcium (mg),Sodium (mg),Healthy (1/0),Reason
Peanut Butter,"Roasted Peanuts, Sugar, Hydrogenated Vegetable Oil, Salt",7,16,8,3,4,194,25,130,0,"Similar to Skippy but with added chunky peanuts, still unhealthy"
Chocolate,"Milk Chocolate (Sugar, Cocoa Butter, Skimmed Milk Powder, Chocolate)",4,12,25,1,24,221,39,70,0,"High sugar and fat content, moderate calories"
Chocolate,"Milk Chocolate (Sugar, Peanuts, Corn Syrup, Hydrogenated Palm Oil, Skimmed Milk Powder)",4,11,31,2,27,231,47,61,0,"High in sugar and calories, with added fats"
Chocolate,"Milk Chocolate (Sugar, Glucose Syrup, Skimmed Milk Powder, Cocoa Butter)",0,9,35,0,30,240,35,91,0,"High sugar and fat, moderate calories"
Chocolate,"Cocoa Mass, Sugar, Cocoa Butter, Emulsifier (Soy Lecithin)",2,13,14,3,7,209,50,5,1,"Higher cocoa content with less sugar, healthier option"
Chocolate,"Cocoa Mass, Sugar, Cocoa Butter, Emulsifier (Lecithin)",2,15,14,8,5,219,55,4,1,"High cocoa percentage, low sugar, good for dark chocolate lovers"
Chocolate,"Milk Chocolate (Sugar, Cocoa Butter, Chocolate, Milk Fat)",1,15,27,2,23,242,40,50,0,"High in sugar and calories, moderate fat content"
Chocolate,"Milk Chocolate (Sugar, Honey, Almonds, Cocoa Butter)",4,13,34,0,25,249,34,44,0,"High sugar and fat, with added honey and almonds"
Chocolate,"Milk Chocolate (Sugar, Cocoa Butter, Peanut Butter)",4,14,23,0,21,228,41,60,0,"High sugar and calories, moderate protein content"
Chocolate,"Dark Chocolate (Sugar, Unsweetened Chocolate, Cocoa Butter)",3,14,20,3,16,191,56,10,1,Good dark chocolate option with moderate sugar
Chocolate,Cocoa Mass,5,12,8,4,0,170,58,0,1,"No added sugar, high fiber, very healthy option"
Almonds,Almonds,6,15,5,3,0,162,76,1,1,"Whole, raw almonds; high in healthy fats and nutrients"
Almonds,Almonds,6,17,5,4,1,169,79,2,1,Roasted without added salt; healthy option
Almonds,"Almonds, Honey, Sugar",5,13,27,1,15,200,63,1,0,High in sugar due to honey and added sugar
Almonds,"Almonds, Salt",6,15,6,3,0,170,81,149,0,"High sodium content, making them less healthy"
Almonds,"Almonds, Dark Chocolate",4,14,16,3,9,190,66,5,0,"Contains added sugar from chocolate, making it less healthy"
Almonds,Almonds,7,18,5,2,0,180,86,0,1,Made from ground almonds; healthy fats and protein
Almonds,"Almonds, Water, Calcium Carbonate",2,4,0,0,2,30,299,180,1,Low in calories and sugars; healthy alternative to dairy
Almonds,"Almonds, Spices, Oil",6,14,5,3,1,160,73,0,1,"Contains healthy spices, but check oil content"
Almonds,Blanched Almonds,5,14,5,3,1,160,77,0,1,"Low-carb flour alternative, high in nutrients"
Almonds,"Almonds, Sea Salt",6,16,7,4,1,170,79,180,0,"High sodium content due to sea salt, making it less healthy"
Soup,"Chicken Broth, Noodles, Chicken, Vegetables, Salt",2,2,21,1,0,190,24,890,0,"High in sodium and low in protein, processed ingredients"
Soup,"Tomatoes, Water, Sugar, Salt, Citric Acid",2,0,17,3,5,119,21,480,0,"High in sugar and sodium, processed with low nutritional value"
Soup,"Noodles, Seasoning, Salt, Flavoring",9,14,55,1,0,318,8,1599,0,"High in sodium and fat, processed with little nutritional value"
Soup,"Chicken Broth, Chicken, Vegetables, Rice, Salt",8,1,20,2,0,180,30,649,0,Moderate in sodium; better than some options but still processed
Soup,"Dehydrated Onion, Salt, Sugar, Corn Starch",0,0,16,0,6,111,16,1150,0,"High sodium content and low protein, not a healthy option"
Soup,"Lentils, Vegetables, Vegetable Broth, Spices",10,2,30,8,2,249,36,381,1,"Made with organic ingredients, high in fiber and protein"
Soup,"Chicken Broth, Noodles, Cream, Chicken, Salt",5,7,19,0,1,159,24,820,0,"High in calories and sodium, processed with low nutritional value"
Soup,"Chicken, Vegetables, Chicken Broth, Noodles",10,8,28,1,2,200,32,890,0,"High sodium and calorie content, processed ingredients"
Soup,"Miso Paste, Seaweed, Tofu, Seasonings",4,2,8,2,1,101,40,480,1,"Lower in calories, with good protein and low fat"
Soup,"Vegetables, Vegetable Broth, Herbs, Spices",5,0,20,4,3,148,34,299,1,"Made with organic ingredients, lower in sodium and calories"
Maggi,"Wheat Flour, Palm Oil, Salt, Spices",5,61,13,4,2,367,20,1099,0,"High sodium, low fiber"
Maggi,"Whole Wheat Flour, Palm Oil, Salt, Spices",7,58,8,6,3,346,23,998,1,"Higher fiber due to whole wheat, moderate sodium"
Maggi,"Rice Flour, Palm Oil, Salt, Spices",5,62,13,3,4,370,15,1052,0,"High sodium, low protein and fiber"
Maggi,"Oats, Palm Oil, Salt, Spices",8,56,11,6,1,343,29,950,1,"High fiber, moderate sodium, balanced nutrition"
Maggi,"Wheat Flour, Dehydrated Vegetables, Salt, Spices",4,57,10,4,3,363,18,1080,0,"High sodium, low fiber, moderate fat"
Maggi,"Wheat Flour, Chicken Flavor, Palm Oil, Spices",5,60,11,2,3,372,16,1121,0,"High sodium, low fiber, moderate protein"
Maggi,"Wheat Flour, Cheese Powder, Palm Oil, Salt, Spices",6,62,14,5,6,392,36,1149,0,"High sodium and fat, moderate carbs and protein"
Maggi,"Wheat Flour, Palm Oil, Salt, Masala Spices",4,57,15,2,4,369,20,1099,0,"High sodium, low fiber"
Maggi,"Wheat Flour, Palm Oil, Salt, Spices (No Onion)",6,59,11,3,3,368,18,1101,0,"Similar to classic, no onion but high sodium"
Maggi,"Wheat Flour, Palm Oil, Salt, Spices (No Garlic)",4,60,13,1,2,369,21,1090,0,"Similar to classic, no garlic but high sodium"
Oats,"Oats, Salt",14,52,4,6,0,316,42,121,1,"High fiber, moderate carbs, low sugar and sodium"
Oats,"Oats, Honey, Salt",11,59,5,6,7,357,36,133,1,"Moderate fiber, high sugar from honey, moderate sodium"
Oats,"Oats, Dried Fruits (Raisins, Apples), Salt",10,57,5,7,15,360,41,126,1,"Higher sugar content, balanced fiber and protein"
Oats,"Oats, Almonds, Salt",14,53,8,10,2,355,62,111,1,"High protein and fiber from almonds, low sugar and sodium"
Oats,"Steel-Cut Oats, Salt",15,49,4,9,2,339,36,105,1,"High fiber and protein, low sodium and sugar"
Oats,"Oats, Cinnamon, Salt",14,57,5,6,3,331,30,121,1,"Moderate sugar from cinnamon, high fiber, and low sodium"
Oats,"Oats, Chia Seeds, Salt",15,55,9,10,1,385,51,109,1,"High fiber and healthy fats from chia seeds, low sugar and sodium"
Oats,"Gluten-Free Oats, Salt",12,53,6,9,1,332,35,115,1,"High fiber, suitable for gluten-sensitive consumers, low sugar"
Oats,"Organic Oats, Salt",14,53,6,8,3,322,31,101,1,"High fiber, low sodium, organic product"
Oats,"Oats, Cocoa Powder, Sugar, Salt",12,59,5,5,14,379,18,136,0,"High sugar from chocolate, moderate protein and fiber, high sodium"
Lays,"Potatoes, Vegetable Oil, Salt",2,16,10,2,0,151,10,171,0,"High fat, low fiber, moderate sodium"
Lays,"Potatoes, Vegetable Oil, Salt, Vinegar",3,13,10,3,0,145,16,211,0,"High sodium, moderate fat, low fiber"
Lays,"Potatoes, Vegetable Oil, Sour Cream, Onion Powder, Salt",3,15,10,1,1,159,12,182,0,"High fat, low fiber, moderate sodium"
Lays,"Potatoes, Vegetable Oil, Barbecue Seasoning, Salt",2,17,8,0,2,160,15,200,0,"High sodium, moderate carbs and sugar, low fiber"
Lays,"Potatoes, Cornstarch, Salt, Sugar, Sunflower Oil",1,23,3,3,1,132,7,181,1,"Lower fat, higher carbs, moderate sodium"
Lays,"Potatoes, Cornstarch, Sour Cream, Onion Powder, Salt",3,21,4,3,1,138,9,189,1,"Lower fat, moderate sodium, moderate carbs"
Lays,"Potatoes, Vegetable Oil, Flamin' Hot Seasoning, Salt",2,16,10,2,2,156,8,220,0,"High fat, high sodium, low fiber"
Lays,"Potatoes, Vegetable Oil, Jalapeno Seasoning, Salt",3,16,8,2,0,153,9,201,0,"High sodium, moderate carbs and fat, low fiber"
Lays,"Potatoes, Vegetable Oil, Salt",1,16,11,0,1,151,8,160,0,"High fat, low fiber, moderate sodium"
Lays,"Potatoes, Vegetable Oil, Light Salt",2,14,12,0,1,138,6,104,1,"Lower sodium, moderate fat and carbs"
Biscuits,"Whole Wheat Flour, Sugar, Vegetable Oil, Salt",2,21,5,3,6,161,14,119,1,"High fiber from whole wheat, moderate sugar"
Biscuits,"Refined Flour, Sugar, Vegetable Oil, Cream, Salt",2,24,9,0,16,231,9,180,0,"High sugar and fat content, low fiber"
Biscuits,"Wheat Flour, Sugar, Palm Oil, Salt, Malt Extract",1,22,6,3,9,162,8,110,1,"Low fat, moderate sugar, suitable for light snacking"
Biscuits,"Oats, Sugar, Vegetable Oil, Salt",5,18,6,4,6,179,18,125,1,"High fiber from oats, moderate fat and sugar"
Biscuits,"Refined Flour, Sugar, Chocolate Chips, Vegetable Oil, Salt",4,27,13,2,18,281,11,202,0,"High sugar, high fat, low fiber"
Biscuits,"Refined Flour, Butter, Sugar, Salt",1,26,14,0,13,274,9,151,0,"Very high fat, high sugar, very low fiber"
Biscuits,"Whole Wheat, Oats, Barley, Sugar, Vegetable Oil, Salt",3,22,5,3,3,200,27,130,1,"High fiber from whole grains, moderate fat and sugar"
Biscuits,"Refined Flour, Cocoa, Sugar, Cream, Vegetable Oil, Salt",2,28,10,0,18,251,14,189,0,"High sugar, high fat, low fiber"
Biscuits,"Whole Wheat, Artificial Sweetener, Vegetable Oil, Salt",4,15,5,2,2,140,8,111,1,"Low sugar, high fiber, suitable for diabetic consumers"
Biscuits,"Refined Flour, Coconut, Sugar, Vegetable Oil, Salt",2,24,11,3,13,226,16,150,0,"High sugar and fat, moderate carbs"
Peanut Butter,"Roasted Peanuts, Sugar, Hydrogenated Vegetable Oil, Salt",7,15,7,2,5,190,22,131,0,"High in sugar and calories, with added oils"
Peanut Butter,"Roasted Peanuts, Sugar, Palm Oil, Salt",7,16,9,2,4,194,26,141,0,"Similar to Skippy, high in sugar and calories"
Peanut Butter,"Roasted Peanuts, Sugar, Hydrogenated Vegetable Oil, Salt",6,15,8,0,3,200,30,140,0,"Contains added sugars and oils, making it less healthy"
